Date : 2025-04-12 10:19:38
Directory : c:\Users\Hi\Coder\MovieApp
Total : 93 files,  3041 codes, 220 comments, 455 blanks, all 3716 lines

Languages
+--------------+------------+------------+------------+------------+------------+
| language     | files      | code       | comment    | blank      | total      |
| app\src\main\java\com\example\movieapp\Activities                                                   |          9 |        639 |         40 |        112 |        791 |
| app\src\main\java\com\example\movieapp\Adapters                                                     |          4 |        117 |          1 |         25 |        143 |
| app\src\main\java\com\example\movieapp\Dataclass                                                    |          5 |         44 |          0 |         11 |         55 |
| app\src\main\java\com\example\movieapp\Fragment                                                     |          4 |        201 |         40 |         44 |        285 |
| app\src\main\java\com\example\movieapp\ui                                                           |          3 |         64 |         27 |         12 |        103 |
| app\src\main\java\com\example\movieapp\ui\theme                                                     |          3 |         64 |         27 |         12 |        103 |
| app\src\main\res                                                                                    |         45 |      1,442 |         44 |        188 |      1,674 |
| app\src\main\res\anim                                                                               |          2 |         10 |          0 |          2 |         12 |
| app\src\main\res\color                                                                              |          1 |          5 |          0 |          0 |          5 |
| app\src\main\res\drawable                                                                           |         17 |        183 |          3 |         38 |        224 |
| app\src\main\res\layout                                                                             |         16 |      1,177 |         17 |        144 |      1,338 |
| app\src\main\res\menu                                                                               |          1 |         19 |          0 |          1 |         20 |
| app\src\main\res\mipmap-anydpi-v26                                                                  |          2 |         10 |          0 |          0 |         10 |
| app\src\main\res\values                                                                             |          4 |         30 |          0 |          3 |         33 |
| app\src\main\res\xml                                                                                |          2 |          8 |         24 |          0 |         32 |
| app\src\test                                                                                        |          1 |          9 |          5 |          3 |         17 |
| app\src\test\java                                                                                   |          1 |          9 |          5 |          3 |         17 |
| app\src\test\java\com                                                                               |          1 |          9 |          5 |          3 |         17 |
| app\src\test\java\com\example                                                                       |          1 |          9 |          5 |          3 |         17 |
| app\src\test\java\com\example\movieapp                                                              |          1 |          9 |          5 |          3 |         17 |
| gradle                                                                                              |          1 |          5 |          1 |          1 |          7 |
| gradle\wrapper                                                                                      |          1 |          5 |          1 |          1 |          7 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| filename                                                                                            | language     | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
| c:\Users\Hi\Coder\MovieApp\.idea\appInsightsSettings.xml                                            | XML          |         27 |          0 |          0 |         27 |
| c:\Users\Hi\Coder\MovieApp\.idea\compiler.xml                                                       | XML          |          6 |          0 |          0 |          6 |
| c:\Users\Hi\Coder\MovieApp\.idea\deploymentTargetSelector.xml                                       | XML          |         21 |          0 |          0 |         21 |
| c:\Users\Hi\Coder\MovieApp\.idea\gradle.xml                                                         | XML          |         19 |          0 |          0 |         19 |
| c:\Users\Hi\Coder\MovieApp\.idea\inspectionProfiles\Project_Default.xml                             | XML          |         53 |          0 |          0 |         53 |
| c:\Users\Hi\Coder\MovieApp\.idea\kotlinc.xml                                                        | XML          |          6 |          0 |          0 |          6 |
| c:\Users\Hi\Coder\MovieApp\.idea\material_theme_project_new.xml                                     | XML          |         12 |          0 |          0 |         12 |
| c:\Users\Hi\Coder\MovieApp\.idea\migrations.xml                                                     | XML          |         10 |          0 |          0 |         10 |
| c:\Users\Hi\Coder\MovieApp\.idea\misc.xml                                                           | XML          |         17 |          0 |          0 |         17 |
| c:\Users\Hi\Coder\MovieApp\.idea\studiobot.xml                                                      | XML          |          6 |          0 |          0 |          6 |
| c:\Users\Hi\Coder\MovieApp\.idea\vcs.xml                                                            | XML          |          6 |          0 |          0 |          6 |
| c:\Users\Hi\Coder\MovieApp\README.md                                                                | Markdown     |          1 |          0 |          1 |          2 |
| c:\Users\Hi\Coder\MovieApp\app\build.gradle.kts                                                     | Kotlinscript |        119 |          1 |         18 |        138 |
| c:\Users\Hi\Coder\MovieApp\app\google-services.json                                                 | JSON         |         47 |          0 |          0 |         47 |
| c:\Users\Hi\Coder\MovieApp\app\src\androidTest\java\com\example\movieapp\ExampleInstrumentedTest.kt | Kotlin       |         14 |          6 |          4 |         24 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\AndroidManifest.xml                                         | XML          |         48 |          0 |          3 |         51 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\IntroActivity.kt       | Kotlin       |         34 |          3 |          9 |         46 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\LoginActivity.kt       | Kotlin       |        119 |          5 |         18 |        142 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\MainActivity.kt        | Kotlin       |         35 |          4 |          9 |         48 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\MovieDetailActivity.kt | Kotlin       |        171 |          1 |         25 |        197 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\OTPActivity.kt         | Kotlin       |         43 |          1 |          8 |         52 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\PhoneNumberActivity.kt | Kotlin       |         57 |          5 |         11 |         73 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SearchActivity.kt      | Kotlin       |         90 |         12 |         14 |        116 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SignupActivity.kt      | Kotlin       |         57 |          0 |         10 |         67 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Activities\SplashActivity.kt      | Kotlin       |         33 |          9 |          8 |         50 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\BannerAdapter.kt         | Kotlin       |         25 |          1 |          7 |         33 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\MovieAdapter.kt          | Kotlin       |         32 |          0 |          5 |         37 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\MovieSearchAdapter.kt    | Kotlin       |         32 |          0 |          6 |         38 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Adapters\PersonAdapter.kt         | Kotlin       |         28 |          0 |          7 |         35 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Actor.kt                | Kotlin       |          6 |          0 |          2 |          8 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Director.kt             | Kotlin       |          5 |          0 |          2 |          7 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\ItemMovie.kt            | Kotlin       |          9 |          0 |          2 |         11 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\Movie.kt                | Kotlin       |         18 |          0 |          2 |         20 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Dataclass\ItemPerson.kt               | Kotlin       |          6 |          0 |          3 |          9 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\CategoryFragment.kt      | Kotlin       |          4 |          0 |          2 |          6 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\DowloadFragment.kt       | Kotlin       |          4 |          0 |          2 |          6 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\HomeFragment.kt          | Kotlin       |        189 |         40 |         38 |        267 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\Fragment\ProfileFragment.kt       | Kotlin       |          4 |          0 |          2 |          6 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\SessionManager.kt                 | Kotlin       |         39 |          6 |          9 |         54 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\ui\theme\Color.kt                 | Kotlin       |          8 |          0 |          3 |         11 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\ui\theme\Theme.kt                 | Kotlin       |         41 |         10 |          7 |         58 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\java\com\example\movieapp\ui\theme\Type.kt                  | Kotlin       |         15 |         17 |          2 |         34 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\anim\slide_in_right.xml                                 | XML          |          5 |          0 |          1 |          6 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\anim\slide_out_left.xml                                 | XML          |          5 |          0 |          1 |          6 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\color\selector_bottom_nav.xml                           | XML          |          5 |          0 |          0 |          5 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\ant_design_star_filled.xml                     | XML          |          9 |          0 |          1 |         10 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\baseline_arrow_back_24.xml                     | XML          |         10 |          0 |          4 |         14 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\edittext_background.xml                        | XML          |          9 |          0 |          0 |          9 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\gradient_background.xml                        | XML          |         11 |          0 |          0 |         11 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_apple.xml                                 | XML          |         20 |          0 |          1 |         21 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_back.xml                                  | XML          |          3 |          0 |          3 |          6 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_clock.xml                                 | XML          |          9 |          0 |          1 |         10 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_dash.xml                                  | XML          |         11 |          0 |          1 |         12 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_dowload.xml                               | XML          |          4 |          0 |          4 |          8 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_drop_down.xml                             | XML          |          3 |          0 |          3 |          6 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_facebook.xml                              | XML          |         24 |          0 |          1 |         25 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_google.xml                                | XML          |         22 |          0 |          1 |         23 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_gridview.xml                              | XML          |         21 |          3 |          8 |         32 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_profile.xml                               | XML          |          3 |          0 |          3 |          6 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icons_home.xml                                 | XML          |          9 |          0 |          1 |         10 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\orange_button_background.xml                   | XML          |          9 |          0 |          0 |          9 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\phone_call_telephone_svgrepo_com.xml           | XML          |          6 |          0 |          6 |         12 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_intro.xml                               | XML          |         85 |          0 |         17 |        102 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_login.xml                               | XML          |        144 |          3 |         13 |        160 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_main.xml                                | XML          |         29 |          0 |          3 |         32 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_movie_detail.xml                        | XML          |        265 |          0 |         40 |        305 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_otp.xml                                 | XML          |         88 |          0 |          7 |         95 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_phonenumber.xml                         | XML          |         66 |          0 |          2 |         68 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_search.xml                              | XML          |         45 |          2 |          7 |         54 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_signup.xml                              | XML          |        133 |          0 |         11 |        144 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_category.xml                            | XML          |         13 |          0 |          1 |         14 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_dowload.xml                             | XML          |         13 |          0 |          1 |         14 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_home.xml                                | XML          |         94 |          5 |         14 |        113 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_profile.xml                             | XML          |         13 |          0 |          1 |         14 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_banner.xml                                  | XML          |         10 |          0 |          1 |         11 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie.xml                                   | XML          |         72 |          7 |         11 |         90 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie_search.xml                            | XML          |         76 |          0 |         11 |         87 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_person.xml                                  | XML          |         31 |          0 |          4 |         35 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\menu\bottom_menu.xml                                    | XML          |         19 |          0 |          1 |         20 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml                       | XML          |          5 |          0 |          0 |          5 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml                 | XML          |          5 |          0 |          0 |          5 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\colors.xml                                       | XML          |         19 |          0 |          1 |         20 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\ic_launcher_background.xml                       | XML          |          4 |          0 |          0 |          4 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\strings.xml                                      | XML          |          3 |          0 |          0 |          3 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\themes.xml                                       | XML          |          4 |          0 |          2 |          6 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\xml\backup_rules.xml                                    | XML          |          3 |         10 |          0 |         13 |
| c:\Users\Hi\Coder\MovieApp\app\src\main\res\xml\data_extraction_rules.xml                           | XML          |          5 |         14 |          0 |         19 |
| c:\Users\Hi\Coder\MovieApp\app\src\test\java\com\example\movieapp\ExampleUnitTest.kt                | Kotlin       |          9 |          5 |          3 |         17 |
| c:\Users\Hi\Coder\MovieApp\build.gradle.kts                                                         | Kotlinscript |          4 |          1 |          0 |          5 |
| c:\Users\Hi\Coder\MovieApp\gradle.properties                                                        | Properties   |          4 |         19 |          0 |         23 |
| c:\Users\Hi\Coder\MovieApp\gradle\wrapper\gradle-wrapper.properties                                 | Properties   |          5 |          1 |          1 |          7 |
| c:\Users\Hi\Coder\MovieApp\gradlew.bat                                                              | Batch        |         39 |         29 |         22 |         90 |
| c:\Users\Hi\Coder\MovieApp\settings.gradle.kts                                                      | Kotlinscript |         22 |          0 |          2 |         24 |
| Total                                                                                               |              |      3,041 |        220 |        455 |      3,716 |
+-----------------------------------------------------------------------------------------------------+--------------+------------+------------+------------+------------+
